8:24,7:01,5:09,12:31,11:47,6:04,4:39
8:23,6:59,5:08,12:31,11:47,6:04,4:39
8:22,6:58,5:07,12:31,11:47,6:05,4:40
8:20,6:57,5:06,12:30,11:47,6:06,4:41
8:19,6:55,5:05,12:30,11:47,6:07,4:42
8:17,6:54,5:04,12:29,11:46,6:08,4:43
8:16,6:52,5:03,12:29,11:46,6:08,4:44
8:14,6:51,5:02,12:28,11:45,6:09,4:45
8:14,6:51,5:02,12:28,11:45,6:09,4:45
8:11,6:48,5:00,12:28,11:45,6:10,4:46
8:10,6:47,4:58,12:28,11:44,6:10,4:47
8:08,6:46,4:57,12:27,11:44,6:11,4:47
8:07,6:45,4:56,12:27,11:44,6:11,4:48
8:06,6:44,4:55,12:26,11:44,6:12,4:49
8:05,6:43,4:54,12:26,11:44,6:12,4:50
8:03,6:41,4:53,12:25,11:43,6:14,4:51
8:01,6:39,4:52,12:25,11:43,6:14,4:52
8:00,6:38,4:51,12:25,11:43,6:15,4:53
7:58,6:37,4:49,12:25,11:43,6:16,4:53
7:56,6:35,4:48,12:24,11:42,6:17,4:54
7:54,6:33,4:47,12:24,11:42,6:17,4:55
7:53,6:32,4:46,12:23,11:42,6:18,4:56
7:51,6:30,4:45,12:23,11:42,6:19,4:57
7:50,6:29,4:43,12:23,11:42,6:20,4:58
7:49,6:28,4:42,12:23,11:42,6:20,4:59
7:47,6:26,4:41,12:22,11:41,6:21,4:59
7:46,6:25,4:40,12:22,11:41,6:22,5:00
7:44,6:24,4:39,12:21,11:41,6:23,5:01
7:43,6:23,4:38,12:21,11:41,6:24,5:01
7:41,6:21,4:36,12:21,11:40,6:24,5:02
