6.11,6.05,12.44,7.28,6.02
6.12,6.06,12.44,7.27,6.01
6.13,6.07,12.44,7.26,6.00
6.14,6.07,12.44,7.25,6.00
6.15,6.08,12.44,7.24,6.00
6.16,6.09,12.44,7.24,5.59
6.17,6.10,12.44,7.23,5.59
6.17,6.11,12.44,7.22,5.58
6.18,6.12,12.44,7.21,5.57
6.19,6.13,12.44,7.21,5.56
6.20,6.14,12.44,7.20,5.56
6.21,6.15,12.44,7.19,5.55
6.22,6.16,12.44,7.18,5.54
6.23,6.17,12.44,7.17,5.53
6.24,6.18,12.44,7.16,5.52
6.24,6.18,12.44,7.15,5.51
6.25,6.19,12.44,7.14,5.50
6.26,6.20,12.44,7.13,5.49
6.27,6.21,12.44,7.11,5.48
6.28,6.22,12.44,7.10,5.47
6.29,6.23,12.44,7.09,5.46
6.30,6.24,12.44,7.08,5.45
6.31,6.25,12.44,7.07,5.44
6.31,6.25,12.44,7.06,5.43
6.32,6.26,12.43,7.05,5.42
6.33,6.27,12.43,7.04,5.40
6.34,6.28,12.43,7.04,5.39
6.35,6.29,12.43,7.02,5.38
